text,labels
"你真傻逼",不文明用语
"出售各类假证件，联系QQ123456",违法信息
"今天天气真好，适合出去散步",正常
"特价促销！新款手机只要999元，点击链接购买",广告
"听说他参与了赌博，还欠了很多钱",违法信息
"这是个骗子，大家别上当，他骗了我的钱",违法信息
"你他妈的脑子有问题吧？",不文明用语
"免费领取礼品，扫码关注公众号即可",广告
"这本书写得不错，推荐给大家",正常
"贩卖个人信息，有需要的加微信",违法信息
"缺德傻逼东西",不文明用语
"分享一个学习方法，亲测有效",正常
"枪支弹药出售，绝对保密",违法信息
"办证刻章，快速高效，价格优惠",违法信息
"你这种人他妈的就该被骂，活该",不文明用语
"促销活动：满200减50，截止到周末",广告
"赌博赢钱技巧，快来学习",违法信息
"这家餐厅味道很好，环境也不错",正常
"你他妈的是不是有病？",不文明用语
"出售盗版软件，便宜又好用",违法信息
"今天学到了新知识，很开心",正常
"高利贷快速放款",违法信息
"这个产品质量操他妈的太差",不文明用语
"周末去爬山，有没有一起的？",正常
"高价回收二手手机，当面交易",广告
"传播淫秽视频，需要的私聊",违法信息
"你做事太不靠谱，蠢猪",不文明用语
"推荐一部好电影，剧情很精彩",正常
"出售假币，保真，量大从优",违法信息
"你好",正常
"低价批发迷药，送货上门",违法信息
"你脑子进水了？这都能搞错",不文明用语
"新用户注册送100元现金红包",广告
"公园的樱花开了，很适合拍照",正常
"代办信用卡，无视征信黑户",违法信息
"傻逼领导天天找茬",不文明用语
"限时特惠：牛排买一送一",广告
"这本书的哲学观点很有启发性",正常
"专业黑客代删差评",违法信息
"废物点心还在这装逼",不文明用语
"暑期游学团报名立减2000元",广告
"学会这道菜的做法很有成就感",正常
"赌博平台代理招募，月入十万",违法信息
"你他妈的眼瞎看不见吗？",不文明用语
"新房首付15%起，限时抢购",广告
"纪录片《地球脉动》值得反复看",正常
"高价收购他人身份证",违法信息
"蠢得像猪一样怎么活到现在的",不文明用语
"扫码领取免费健身课程",广告
"晨跑时看到湖面有白鹭",正常
"提供考试作弊设备",违法信息
"贱人就是矫情",不文明用语
"充话费满100送20",广告
"社区图书馆的环境很舒适",正常
"出售他人隐私数据",违法信息
"你这种垃圾早该他妈的滚蛋",不文明用语
"新房精装修每平仅2万",广告
"冥想对缓解焦虑真的有效",正常
"代开医院病假条",违法信息
"傻狗别在这吠",不文明用语
"专业办理假学历证书，学信网可查",违法信息
"你脑子被驴踢了？这种话都信",不文明用语
"新店开业全场5折，进店扫码领券",广告
"清晨的公园空气清新，适合晨练",正常
"高价收购银行卡，支持匿名交易",违法信息
"蠢货逼养的连基本操作都不会",不文明用语
"暑期英语班报名享8折优惠",广告
"读完《三体》对宇宙有了新认知",正常
"迷药暗网直邮，保密发货",违法信息
"贱人少在这装清高",不文明用语
"二手房急售，低于市场价20%",广告
"周末烘焙的蛋糕意外成功",正常
"赌博网站代理，日结佣金",违法信息
"你眼睛长屁股上了？艹你妈的看不见路？",不文明用语
"健身年卡买一送一，限本周",广告
"纪录片《蓝色星球》的镜头太震撼",正常
"代开增值税发票，点数优惠",违法信息
"傻逼废物除了拖后腿还会什么",不文明用语
"扫码参与抽奖，100%中话费",广告
"雨后彩虹横跨天际很美",正常
"提供定位跟踪服务，实时监控",违法信息
"傻X领导只会拍马屁",不文明用语
"新房首付分期，月供低至2000",广告
"学会泡咖啡拉花很有成就感",正常
"出售业主个人信息，精准到户",违法信息
"智障东西滚远点",不文明用语
"充100送30，便利店储值活动",广告
"社区义工活动收获很多感动",正常
"专业删帖删差评，不留痕迹",违法信息
"你全家都是没教养的野狗",不文明用语
"我不傻，你别逼我",正常
"我爱你",正常
"我和你，心连心",正常
"买二手手机上转转",广告
"我相信你，要加油啊！",正常
